年份,日期,周数,起始时间,结束时间,类型,金额,持续时间,时间段,身体评分,备注
2025,2025/12/1,49,13:00,14:00,单打,38,1,中午,8,
2025,2025/12/1,49,21:00,22:00,单打,48,1,晚上,8,
2025,2025/12/4,49,7:00,9:00,练球,15,2,早上,8,
2025,2025/12/5,49,21:00,22:00,单打,43.25,1,晚上,8,
2025,2025/12/8,50,21:00,22:00,单打,43,1,晚上,8,
2025,2025/12/10,50,7:00,9:00,练球,35.5,2,早上,8,
2025,2025/12/11,50,12:00,14:00,双打,24,2,中午,8,
2025,2025/12/15,51,12:00,14:00,练球,22.5,2,中午,8,
2025,2025/12/20,51,12:00,14:00,双打,25.67,2,中午,8,zsp 单线区断线
2025,2025/12/21,51,21:00,22:00,单打,40.75,1,晚上,8,90km 单线区断线
2025,2025/12/24,52,7:00,9:00,练球,22.75,2,早上,8,
2025,2025/12/30,53,20:00,22:00,双打,28.87,2,晚上,8,6人双打，亚C
2026,2026/1/1,1,15:00,18:00,双打,54.37,3,下午,8,16人3场地
2026,2026/1/3,1,20:00,22:00,双打,24.73,2,晚上,8,4人混双
2026,2026/1/6,2,20:00,22:00,单打,55.84,2,晚上,8,3人轮单，亚C
2026,2026/1/9,2,7:00,9:00,练球,15,2,早上,8,黑金隼磨断线
2026,2026/1/12,3,7:00,9:00,练球,23.5,2,早上,8,
2026,2026/1/13,3,7:00,9:00,练球,22.75,2,早上,8,
2026,2026/1/17,3,20:00,22:00,双打,41.25,2,晚上,8,4人双打，zsp 单线区断线
2026,2026/1/18,3,19:00,21:00,单打,49.17,2,晚上,8,
2026,2026/1/20,4,7:00,9:00,练球,170,2,早上,8,丢失一桶球（10颗）155
2026,2026/1/20,4,21:00,22:00,单打,39,1,晚上,8,
2026,2026/1/23,4,21:00,22:00,单打,44.22,1,晚上,8,
2026,2026/1/24,4,20:00,22:00,单打,45.01,2,晚上,8,3人轮单，翎美F2
2026,2026/1/31,5,19:00,21:00,单打,60.51,2,晚上,8,3人轮单，亚S亚2，zsp 单线区断线
2026,2026/2/6,6,21:00,22:00,单打,15.5,1,晚上,8,3人轮单，黑金隼 单线区断线
2026,2026/2/7,6,16:00,18:00,双打,22.5,2,下午,8,6人轮双
